hour,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
4513,189,0,ReLU Ridge,1.2301,-0.0006,-0.0012,-0.1301,0.0478,0.1396,0.2954
4513,189,0,GANopolis,1.2339,-0.0011,-0.0017,-0.098,-0.0023,0.0986,0.2228
4513,189,0,Tensorburg,1.2381,-0.0041,-0.0047,-0.1468,0.02,0.1484,0.2942
4513,189,0,Offshore A,1.2371,0.0021,0.004,-0.1168,0.0124,0.1175,0.2559
4513,189,0,Sparseville,1.23,-0.0011,-0.0007,-0.1001,-0.0084,0.1005,0.2302
4513,189,0,Offshore B,1.2192,-0.0016,-0.001,-0.0793,0.0295,0.0847,0.2129
4513,189,0,Gradient Grove,1.2205,-0.0028,-0.0033,-0.1607,-0.0342,0.1644,0.3245
4513,189,0,Bayes Bay,1.2439,0.0047,0.0067,-0.1141,-0.0018,0.1141,0.2417
4514,189,1,Gradient Grove,1.2561,-0.0009,-0.0005,-0.147,-0.0236,0.149,0.3024
4514,189,1,Tensorburg,1.2582,-0.0037,-0.0036,-0.1336,0.003,0.1336,0.2697
4514,189,1,Sparseville,1.2491,-0.0013,-0.0016,-0.1161,0.021,0.1186,0.2484
4514,189,1,Offshore A,1.2695,0.0033,0.0052,-0.0912,0.0081,0.0915,0.2197
4514,189,1,Bayes Bay,1.2646,0.0044,0.0061,-0.1066,-0.0006,0.1066,0.2385
4514,189,1,ReLU Ridge,1.2561,0.0023,0.0021,-0.1363,0.0164,0.1374,0.2769
4514,189,1,Offshore B,1.2495,0.0005,0.0009,-0.0942,0.0349,0.1005,0.2317
4514,189,1,GANopolis,1.2581,-0.003,-0.0039,-0.0886,0.0435,0.0992,0.2343
4515,189,2,ReLU Ridge,1.2706,0.0048,0.0051,-0.1392,0.0105,0.1396,0.2802
4515,189,2,Offshore A,1.2785,0.0061,0.008,-0.0777,0.0071,0.0781,0.2037
4515,189,2,Gradient Grove,1.2748,0.0032,0.0038,-0.119,-0.0138,0.1199,0.2488
